day,date,start_time,end_time,session_code,workshop_short_name,talk_title,speaker,speaker_affiliation,location,priority,tc_relevance_reason,url,workshop_tc_importance
Friday,2026-06-05,09:00,17:30,FrTW,"Xplore: Cross-Disciplinary aspects of Exploration in Robotics, Reinforcement Learning, and Search",Invited Talk (slot TBD),Sebastian Tschiatschek,University of Vienna,TBA,noteworthy,"Tschiatschek works on ML theory, active learning, decision-making under uncertainty. TC-adjacent through the active-learning-for-planning angle.",https://xplore-workshop.github.io/,"Exploration is a planning problem: information-gathering trajectories, active perception, frontier-based search, and active SLAM all overlap with the TC. This workshop frames exploration across robotics, RL theory, and search, so the TC connection runs through the planning side while the RL-theory talks sit further from core TC scope."
Friday,2026-06-05,14:00,17:40,FrTW,Workshop on Manipulation Robustness: Towards Human-Level Robustness under Real-World Challenges,Invited Talk (slot TBD),Andrea Bajcsy,Carnegie Mellon University,TBA,important,"Bajcsy's group works on safe control with human models, reachability-based safety, and value-aware planning. Direct TC scope: safe motion planning and control under uncertainty.",https://manipulation-robustness.github.io/icra2026/,"Manipulation robustness draws on safe motion planning, reachability-based control, and learning-augmented MPC — particularly when humans are in the loop or contact uncertainty matters. The workshop's safety-aware-control talks are direct TC scope while the broader robot-learning content sits at the planning/learning interface."
Friday,2026-06-05,14:00,17:40,FrTW,Workshop on Manipulation Robustness: Towards Human-Level Robustness under Real-World Challenges,Invited Talk (slot TBD),Jan Peters,TU Darmstadt,TBA,noteworthy,"Peters is a foundational figure in robot learning (policy search, learning from demonstration). His older work touches control theory but recent output is mostly learning-flavored — TC-adjacent.",https://manipulation-robustness.github.io/icra2026/,"Manipulation robustness draws on safe motion planning, reachability-based control, and learning-augmented MPC — particularly when humans are in the loop or contact uncertainty matters. The workshop's safety-aware-control talks are direct TC scope while the broader robot-learning content sits at the planning/learning interface."
Friday,2026-06-05,14:00,17:40,FrTW,Workshop on Manipulation Robustness: Towards Human-Level Robustness under Real-World Challenges,Invited Talk (slot TBD),Oliver Brock,TU Berlin,TBA,noteworthy,Brock's RBO Hand and interactive perception work treats perception+action as a single problem. TC-adjacent — useful for active-sensing-and-control formulations.,https://manipulation-robustness.github.io/icra2026/,"Manipulation robustness draws on safe motion planning, reachability-based control, and learning-augmented MPC — particularly when humans are in the loop or contact uncertainty matters. The workshop's safety-aware-control talks are direct TC scope while the broader robot-learning content sits at the planning/learning interface."
Friday,2026-06-05,09:00,17:30,FrTW,8th Workshop on Long-Term Human Motion Prediction,Invited Talk (slot TBD),Katherine Driggs-Campbell,University of Illinois Urbana-Champaign,TBA,noteworthy,Driggs-Campbell's group works on social navigation — planning around predicted human motion. Closest TC angle in this prediction-focused workshop.,https://motionpredictionicra2026.github.io/,"Human motion prediction is a producer for TC research rather than a TC topic in itself — predictions feed into social navigation planners, AV motion planning, and shared-autonomy controllers. The workshop's center of gravity is on the prediction side, with downstream connections to the planning-around-humans subset of the TC."
Friday,2026-06-05,09:00,17:30,FrTW,8th Workshop on Long-Term Human Motion Prediction,Invited Talk (slot TBD),Jean Oh,Carnegie Mellon University,TBA,noteworthy,Oh works on social navigation and learning-from-experience policies for robots in human environments. TC-adjacent — planning around predicted motion is a TC consumer of prediction.,https://motionpredictionicra2026.github.io/,"Human motion prediction is a producer for TC research rather than a TC topic in itself — predictions feed into social navigation planners, AV motion planning, and shared-autonomy controllers. The workshop's center of gravity is on the prediction side, with downstream connections to the planning-around-humans subset of the TC."
Friday,2026-06-05,09:00,17:30,FrTW,8th Workshop on Long-Term Human Motion Prediction,Invited Talk (slot TBD),Johannes Betz,Technical University of Munich,TBA,noteworthy,Betz's group does autonomous racing and AV planning/control (also organizes Monday's GenAV). TC-adjacent — predicted human/agent motion feeds into AV planners.,https://motionpredictionicra2026.github.io/,"Human motion prediction is a producer for TC research rather than a TC topic in itself — predictions feed into social navigation planners, AV motion planning, and shared-autonomy controllers. The workshop's center of gravity is on the prediction side, with downstream connections to the planning-around-humans subset of the TC."
Friday,2026-06-05,09:15,17:30,FrTW,Robots Meet Prior Maps: Leveraging Geometric and Semantic Priors for Real-World Robot Autonomy,Invited Talk (slot TBD),David Hsu,National University of Singapore,TBA,important,"Hsu is the senior figure in POMDP-based planning and planning under uncertainty (DESPOT, the standard online POMDP solver). Bullseye TC. Also giving Keynote 5 on Thursday.",https://sites.google.com/view/icra2026-priors-map-workshop/home,"Using prior maps for autonomy is a planning question: how do planners reuse geometric and semantic priors to act efficiently in environments they partially know? The workshop's POMDP-planning and informative-path-planning talks are direct TC scope, and the framing connects to long-term autonomy and map-based navigation."
Friday,2026-06-05,09:15,17:30,FrTW,Robots Meet Prior Maps: Leveraging Geometric and Semantic Priors for Real-World Robot Autonomy,Invited Talk (slot TBD),Jen Jen Chung,University of Queensland,TBA,important,Same speaker as Xplore — informative path planning and exploration. Direct TC scope.,https://sites.google.com/view/icra2026-priors-map-workshop/home,"Using prior maps for autonomy is a planning question: how do planners reuse geometric and semantic priors to act efficiently in environments they partially know? The workshop's POMDP-planning and informative-path-planning talks are direct TC scope, and the framing connects to long-term autonomy and map-based navigation."
Friday,2026-06-05,09:15,17:30,FrTW,Robots Meet Prior Maps: Leveraging Geometric and Semantic Priors for Real-World Robot Autonomy,Invited Talk (slot TBD),Jose-Luis Sanchez-Lopez,University of Luxembourg,TBA,noteworthy,Sanchez-Lopez works on UAV planning and control. TC-adjacent.,https://sites.google.com/view/icra2026-priors-map-workshop/home,"Using prior maps for autonomy is a planning question: how do planners reuse geometric and semantic priors to act efficiently in environments they partially know? The workshop's POMDP-planning and informative-path-planning talks are direct TC scope, and the framing connects to long-term autonomy and map-based navigation."
Friday,2026-06-05,09:10,09:35,FrTW,Semantics for Reliable Robot Autonomy: From Environment Understanding and Reasoning to Safe Interaction,Reasoning VLA Models for Vehicle Autonomy,Marco Pavone,Stanford University / NVIDIA,TBA,noteworthy,Pavone giving a talk specifically on VLA models for vehicle autonomy — more on the learning-applied-to-AVs side than his usual planning/control work. TC-adjacent.,https://www.dynsyslab.org/icra2026-workshop-on-semantics-for-reliable-robot-autonomy/,"This workshop centers on semantics and language-driven autonomy — VLAs, LLM-driven policies, and execution monitoring. The TC connection runs through the safety and control angle (formal methods, adversarial robustness of learned policies) rather than through classical motion planning or optimal control."
Friday,2026-06-05,14:05,14:30,FrTW,Semantics for Reliable Robot Autonomy: From Environment Understanding and Reasoning to Safe Interaction,LLM-Enabled Robots: Jailbreaking Attacks and Defenses,George Pappas,University of Pennsylvania,TBA,noteworthy,"Pappas is a major control-theoretic figure (control of cyber-physical systems, formal methods). This specific talk is on adversarial robustness of LLM-driven robot policies — an emerging interface between his control theory work and modern learned policies. TC-adjacent.",https://www.dynsyslab.org/icra2026-workshop-on-semantics-for-reliable-robot-autonomy/,"This workshop centers on semantics and language-driven autonomy — VLAs, LLM-driven policies, and execution monitoring. The TC connection runs through the safety and control angle (formal methods, adversarial robustness of learned policies) rather than through classical motion planning or optimal control."
Friday,2026-06-05,14:30,14:55,FrTW,Semantics for Reliable Robot Autonomy: From Environment Understanding and Reasoning to Safe Interaction,Building an Adaptable Generalist Robot: A Human-Centered Perspective,Mengdi Xu,Tsinghua University,TBA,noteworthy,Xu works on safe RL and generalist robot adaptation. TC-adjacent through the safe-learning angle.,https://www.dynsyslab.org/icra2026-workshop-on-semantics-for-reliable-robot-autonomy/,"This workshop centers on semantics and language-driven autonomy — VLAs, LLM-driven policies, and execution monitoring. The TC connection runs through the safety and control angle (formal methods, adversarial robustness of learned policies) rather than through classical motion planning or optimal control."
Friday,2026-06-05,16:10,16:35,FrTW,Semantics for Reliable Robot Autonomy: From Environment Understanding and Reasoning to Safe Interaction,Semantics for Robot Task Execution Monitoring,Dongheui Lee,TU Wien & German Aerospace Center,TBA,noteworthy,Lee's group does robot learning + task execution monitoring. TC-adjacent — execution monitoring is the runtime side of planning/control.,https://www.dynsyslab.org/icra2026-workshop-on-semantics-for-reliable-robot-autonomy/,"This workshop centers on semantics and language-driven autonomy — VLAs, LLM-driven policies, and execution monitoring. The TC connection runs through the safety and control angle (formal methods, adversarial robustness of learned policies) rather than through classical motion planning or optimal control."
Friday,2026-06-05,08:30,09:00,FrTW,Workshop on Field Robotics,Welcome and opening remarks,Organizers,Université Laval / INRAE / BYU / ETH Zürich / Georgia Tech Europe,TBA,noteworthy,Sets the day's framing for field deployment of autonomous systems across air/ground/underwater/space. Useful context for any TC member working on real-world deployment.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,09:00,09:30,FrTW,Workshop on Field Robotics,Development of a highly manoeuvrable Autonomous Underwater Vehicle for benthic survey,Stefan Williams,University of Sydney,TBA,noteworthy,AUV design and benthic survey deployment. Vehicle-systems oriented rather than algorithmic — TC-adjacent through the autonomy stack but mostly about marine system engineering.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,09:30,09:50,FrTW,Workshop on Field Robotics,Spotlight talks (5 emerging researchers — 3 min each),Five emerging researchers,Various,TBA,noteworthy,Rapid-fire community pulse on what early-career field roboticists are working on. Worth attending for community awareness but content is too varied to predict TC relevance.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,10:50,11:20,FrTW,Workshop on Field Robotics,Autonomous Robotic Inspection on Ship Hulls and Storage Tanks,Cédric Pradalier,Georgia Tech Europe,TBA,important,"Pradalier's group works on autonomous inspection — planning coverage paths, control under contact, deployment in constrained environments. Direct TC scope: planning and control for inspection tasks in real-world settings.",https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,11:20,11:50,FrTW,Workshop on Field Robotics,"Field-deployable maritime autonomy through energy-aware planning, docking, and coordination",Nina Mahmoudian,Purdue University,TBA,important,"Title is bullseye TC: energy-aware planning, docking control, multi-vehicle coordination. Mahmoudian's AUV work is exactly the kind of constrained motion planning under real-world energy budgets that the TC cares about.",https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,13:10,14:10,FrTW,Workshop on Field Robotics,Keynote: Scaling field robotics in the age of LLMs,Nicholas Roy,MIT CSAIL,TBA,spotlight,Nick Roy is a senior figure in planning under uncertainty and POMDP-based robotics (also giving a Uncertainty in Open-World Robotics talk earlier in the day on 'Scalable Multi-Agent Navigation: Hierarchical Planning Under Real-World Uncertainty'). This keynote is on how field robotics evolves when LLMs enter the autonomy stack — written and delivered by the leading voice in the subfield. Run across the convention for this one.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,14:10,14:40,FrTW,Workshop on Field Robotics,Panel discussion,Panel,Various,TBA,important,"Post-keynote panel on field robotics deployment. With the workshop's heavy planning/control speaker lineup (Mahmoudian, Roy, Zhang) this is where deployment lessons get translated into algorithm-design implications for the TC.",https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,14:40,15:00,FrTW,Workshop on Field Robotics,Spotlight talks (5 emerging researchers — 3 min each),Five emerging researchers,Various,TBA,noteworthy,Second rapid-fire session of emerging-researcher work. Same caveat as the morning slot: content too varied to predict TC relevance.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,16:00,16:10,FrTW,Workshop on Field Robotics,Result announcement for the dataset competition (GOOSE 2D Semantic Segmentation),Organizers,Université Laval / Fraunhofer IOSB,TBA,noteworthy,Competition results from the fine-grained semantic segmentation challenge on off-road terrain (GOOSE/GOOSE-Ex dataset). Perception-focused — TC-adjacent because traversability segmentation feeds into navigation planners.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,16:10,16:40,FrTW,Workshop on Field Robotics,LiDAR-centric Navigation for Field Drones,Fu Zhang,University of Hong Kong,TBA,important,Fu Zhang's group is behind FAST-LIO and FAST-LIO2 — the most widely-used LiDAR-inertial odometry stacks for aerial robots. This talk on LiDAR-centric navigation for field drones is bullseye for TC members deploying UAVs in GPS-denied outdoor settings.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,16:40,17:10,FrTW,Workshop on Field Robotics,Towards Agricultural Robots with Humans in and on the Loop,Katie Driggs-Campbell,University of Illinois Urbana-Champaign,TBA,noteworthy,Driggs-Campbell also speaks at the Long-Term Human Motion Prediction workshop. Here the focus is human-in/on-the-loop agricultural robotics — closer to HRI/shared autonomy than core motion planning. TC-adjacent through the shared-control angle.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
Friday,2026-06-05,17:10,17:30,FrTW,Workshop on Field Robotics,Conclusion,Organizers,Université Laval / INRAE / BYU / ETH Zürich / Georgia Tech Europe,TBA,noteworthy,Day-summary remarks. Useful for community signal but not technical content.,https://norlab-ulaval.github.io/icra_workshop_field_robotics/,"Field robotics is a deployment lens on TC methods: trajectory optimization for field UAVs, energy-aware motion planning for AUVs, coverage planning for inspection, and LiDAR-centric navigation for outdoor robots all show up here. The morning and afternoon talks lean heavily into the planning and control side of deploying autonomous systems outside the lab."
